original,original2,bim,bim_entropy,label_true,entropy
mturk/data/ILSVRC2012_val_000076331833.png,mturk/data/ILSVRC2012_val_000076331835.png,mturk/data/ILSVRC2012_val_000076331832.png,mturk/data/ILSVRC2012_val_000076331834.png,654,3.6437676759268
mturk/data/ILSVRC2012_val_000129534181.png,mturk/data/ILSVRC2012_val_000129534183.png,mturk/data/ILSVRC2012_val_000129534180.png,mturk/data/ILSVRC2012_val_000129534182.png,654,3.44180570240553
mturk/data/ILSVRC2012_val_00004950259.png,mturk/data/ILSVRC2012_val_00004950261.png,mturk/data/ILSVRC2012_val_00004950258.png,mturk/data/ILSVRC2012_val_00004950260.png,654,3.82850227625815
mturk/data/ILSVRC2012_val_000491771670.png,mturk/data/ILSVRC2012_val_000491771672.png,mturk/data/ILSVRC2012_val_000491771669.png,mturk/data/ILSVRC2012_val_000491771671.png,654,3.51351222212762
mturk/data/ILSVRC2012_val_000295633478.png,mturk/data/ILSVRC2012_val_000295633480.png,mturk/data/ILSVRC2012_val_000295633477.png,mturk/data/ILSVRC2012_val_000295633479.png,114,3.94645128742284
mturk/data/ILSVRC2012_val_000311163721.png,mturk/data/ILSVRC2012_val_000311163723.png,mturk/data/ILSVRC2012_val_000311163720.png,mturk/data/ILSVRC2012_val_000311163722.png,114,3.19132440788101
mturk/data/ILSVRC2012_val_000361922320.png,mturk/data/ILSVRC2012_val_000361922322.png,mturk/data/ILSVRC2012_val_000361922319.png,mturk/data/ILSVRC2012_val_000361922321.png,114,3.74398847426292
mturk/data/ILSVRC2012_val_0000272095.png,mturk/data/ILSVRC2012_val_0000272097.png,mturk/data/ILSVRC2012_val_0000272094.png,mturk/data/ILSVRC2012_val_0000272096.png,114,3.65232101009725
mturk/data/ILSVRC2012_val_000186451349.png,mturk/data/ILSVRC2012_val_000186451351.png,mturk/data/ILSVRC2012_val_000186451348.png,mturk/data/ILSVRC2012_val_000186451350.png,25,4.25001516819708
mturk/data/ILSVRC2012_val_000010333504.png,mturk/data/ILSVRC2012_val_000010333506.png,mturk/data/ILSVRC2012_val_000010333503.png,mturk/data/ILSVRC2012_val_000010333505.png,25,3.56309178516338
mturk/data/ILSVRC2012_val_000138992318.png,mturk/data/ILSVRC2012_val_000138992320.png,mturk/data/ILSVRC2012_val_000138992317.png,mturk/data/ILSVRC2012_val_000138992319.png,25,4.13283367713273
mturk/data/ILSVRC2012_val_000142321805.png,mturk/data/ILSVRC2012_val_000142321807.png,mturk/data/ILSVRC2012_val_000142321804.png,mturk/data/ILSVRC2012_val_000142321806.png,25,3.98904659189176
mturk/data/ILSVRC2012_val_000143472799.png,mturk/data/ILSVRC2012_val_000143472801.png,mturk/data/ILSVRC2012_val_000143472798.png,mturk/data/ILSVRC2012_val_000143472800.png,759,3.85687150770056
mturk/data/ILSVRC2012_val_00048202801.png,mturk/data/ILSVRC2012_val_00048202803.png,mturk/data/ILSVRC2012_val_00048202800.png,mturk/data/ILSVRC2012_val_00048202802.png,759,4.23362879015504
mturk/data/ILSVRC2012_val_00001854834.png,mturk/data/ILSVRC2012_val_00001854836.png,mturk/data/ILSVRC2012_val_00001854833.png,mturk/data/ILSVRC2012_val_00001854835.png,759,3.52916848204193
